Raw Score,LSAT Score
76,180
75,177
74,176
73,175
72,174
71,172
70,171
69,170
68,169
67,168
66,167
65,166
64,165
63,164
62,164
61,163
60,162
59,161
58,161
57,160
56,159
55,159
54,158
53,157
52,157
51,156
50,155
49,154
48,154
47,153
46,152
45,152
44,151
43,150
42,150
41,149
40,148
39,148
38,147
37,146
36,146
35,145
34,144
33,143
32,143
31,142
30,141
29,140
28,139
27,138
26,138
25,137
24,136
23,135
22,134
21,133
20,132
19,131
18,130
17,128
16,127
15,126
14,121
13,120
12,120
11,120
10,120
9,120
8,120
7,120
6,120
5,120
4,120
3,120
2,120
1,120
0,120
