Raw Score,LSAT Score
78,180
77,180
76,180
75,178
74,177
73,175
72,174
71,172
70,171
69,169
68,168
67,167
66,166
65,165
64,164
63,163
62,162
61,161
60,160
59,160
58,159
57,158
56,157
55,156
54,156
53,155
52,154
51,153
50,152
49,152
48,151
47,150
46,149
45,149
44,148
43,147
42,146
41,146
40,145
39,144
38,143
37,143
36,142
35,141
34,140
33,140
32,139
31,138
30,137
29,136
28,136
27,135
26,134
25,133
24,132
23,131
22,131
21,130
20,129
19,128
18,127
17,126
16,125
15,124
14,123
13,122
12,121
11,120
10,120
9,120
8,120
7,120
6,120
5,120
4,120
3,120
2,120
1,120
0,120
