Raw Score,LSAT Score
78,180
77,180
76,179
75,178
74,177
73,175
72,174
71,173
70,171
69,170
68,169
67,168
66,167
65,167
64,166
63,165
62,164
61,163
60,162
59,162
58,161
57,160
56,159
55,159
54,158
53,157
52,156
51,156
50,155
49,154
48,153
47,153
46,152
45,151
44,151
43,150
42,149
41,148
40,147
39,147
38,146
37,145
36,144
35,144
34,143
33,142
32,141
31,140
30,139
29,139
28,138
27,137
26,136
25,135
24,134
23,133
22,132
21,131
20,130
19,129
18,128
17,127
16,126
15,125
14,124
13,123
12,121
11,120
10,120
9,120
8,120
7,120
6,120
5,120
4,120
3,120
2,120
1,120
0,120
