Raw Score,LSAT Score
78,180
77,177
76,175
75,173
74,171
73,170
72,169
71,168
70,167
69,166
68,165
67,164
66,163
65,162
64,162
63,161
62,160
61,159
60,159
59,158
58,157
57,157
56,156
55,155
54,155
53,154
52,154
51,153
50,152
49,152
48,151
47,150
46,150
45,149
44,149
43,148
42,147
41,147
40,146
39,145
38,145
37,144
36,143
35,143
34,142
33,141
32,141
31,140
30,139
29,139
28,138
27,137
26,136
25,136
24,135
23,134
22,133
21,132
20,131
19,130
18,129
17,128
16,127
15,126
14,125
13,123
12,122
11,120
10,120
9,120
8,120
7,120
6,120
5,120
4,120
3,120
2,120
1,120
0,120
